Row Number,Institution Name ,Location ,State,Region,Effective Date ,Estimated Loss
60,FIRST GEORGIA COMMUNITY BANK,"JACKSON, GA",GA,South,12/5/2008,"88,065,000"
61,HAVEN TRUST BANK,"DULUTH, GA",GA,South,12/12/2008,"249,363,000"
62,SANDERSON STATE BANK,"SANDERSON, TX",TX,Central,12/12/2008,"8,284,000"
63,COUNTRYWIDE BANK FSB,"ALEXANDRIA, VA",VA,South,1/16/2009,0
64,FIA CARD SERVICES N.A.,"WILMINGTON, DE",DE,East,1/16/2009,0
65,MERRILL LYNCH BANK & TRUST CO FSB,"NEW YORK, NY",NY,East,1/16/2009,0
66,MERRILL LYNCH BANK USA,"SALT LAKE CITY, UT",UT,West,1/16/2009,0
67,BANK OF AMERICA OREGON N.A.,"PORTLAND, OR",OR,West,1/16/2009,0
68,BANK OF CLARK COUNTY,"VANCOUVER, WA",WA,West,1/16/2009,"152,090,000"
69,BANK OF AMERICA RHODE ISLAND N.A.,"PROVIDENCE, RI",RI,East,1/16/2009,0
70,BANK OF AMERICA CALIFORNIA N.A.,"SAN FRANCISCO, CA",CA,West,1/16/2009,0
71,NATIONAL BANK OF COMMERCE,"BERKELEY, IL",IL,Central,1/16/2009,"80,513,000"
72,BANK OF AMERICA N.A.,"CHARLOTTE, NC",NC,South,1/16/2009,0
73,1ST CENTENNIAL BANK,"REDLANDS, CA",CA,West,1/23/2009,"139,788,000"
74,SUBURBAN FEDERAL SAVINGS BANK,"CROFTON, MD",MD,East,1/30/2009,"73,819,000"
75,OCALA NATIONAL BANK,"OCALA, FL",FL,South,1/30/2009,"95,487,000"
76,MAGNET BANK,"SALT LAKE CITY, UT",UT,West,1/30/2009,"171,975,000"
77,COUNTY BANK,"MERCED, CA",CA,West,2/6/2009,"63,204,000"
78,ALLIANCE BANK,"CULVER CITY, CA",CA,West,2/6/2009,"119,572,000"
79,FIRSTBANK FINANCIAL SERVICES,"MCDONOUGH, GA",GA,South,2/6/2009,"153,065,000"
80,PINNACLE BANK,"BEAVERTON, OR",OR,West,2/13/2009,"10,218,000"
81,RIVERSIDE BANK OF THE GULF COAST,"CAPE CORAL, FL",FL,South,2/13/2009,"202,818,000"
82,SHERMAN COUNTY BANK,"LOUP CITY, NE",NE,Central,2/13/2009,"42,684,000"
83,CORN BELT BANK AND TRUST COMPANY,"PITTSFIELD, IL",IL,Central,2/13/2009,"82,172,000"
84,SILVER FALLS BANK,"SILVERTON, OR",OR,West,2/20/2009,"40,828,000"
85,SECURITY SAVINGS BANK,"HENDERSON, NV",NV,West,2/27/2009,"34,946,000"
86,HERITAGE COMMUNITY BANK,"GLENWOOD, IL",IL,Central,2/27/2009,"49,700,000"
87,FREEDOM BANK OF GEORGIA,"COMMERCE, GA",GA,South,3/6/2009,"43,514,000"
88,FIRSTCITY BANK,"STOCKBRIDGE, GA",GA,South,3/20/2009,"140,390,000"
89,"TEAMBANK, N.A.","PAOLA, KS",KS,Central,3/20/2009,"134,593,000"
90,COLORADO NATIONAL BANK,"COLORADO SPRINGS, CO",CO,West,3/20/2009,"12,687,000"
91,OMNI NATIONAL BANK,"ATLANTA, GA",GA,South,3/27/2009,"308,410,000"
92,CAPE FEAR BANK,"WILMINGTON, NC",NC,South,4/10/2009,"118,565,000"
93,NEW FRONTIER BANK,"GREELEY, CO",CO,West,4/10/2009,"918,904,000"
94,GREAT BASIN BANK OF NEVADA,"ELKO, NV",NV,West,4/17/2009,"20,241,000"
95,AMERICAN STERLING BANK,"SUGAR CREEK, MO",MO,Central,4/17/2009,"46,849,000"
96,MICHIGAN HERITAGE BANK,"FARMINGTON HILLS, MI",MI,Central,4/24/2009,"50,184,000"
97,"FIRST BANK OF IDAHO, FSB","KETCHUM, ID",ID,West,4/24/2009,"112,083,000"
98,FIRST BANK OF BEVERLY HILLS,"CALABASAS, CA",CA,West,4/24/2009,"14,884,000"
99,AMERICAN SOUTHERN BANK,"KENNESAW, GA",GA,South,4/24/2009,"33,740,000"
100,AMERICA WEST BANK,"LAYTON, UT",UT,West,5/1/2009,"115,880,000"
101,"SILVERTON BANK, NATIONAL ASSOCIATION","ATLANTA, GA",GA,South,5/1/2009,"646,933,000"
102,CITIZENS COMMUNITY BANK,"RIDGEWOOD, NJ",NJ,East,5/1/2009,"19,094,000"
103,WESTSOUND BANK,"BREMERTON, WA",WA,West,5/8/2009,"83,759,000"
104,"BANKUNITED, FSB","CORAL GABLES, FL",FL,South,5/21/2009,"5,257,822,000"
105,CITIZENS NATIONAL BANK,"MACOMB, IL",IL,Central,5/22/2009,"39,148,000"
106,STRATEGIC CAPITAL BANK,"CHAMPAIGN, IL",IL,Central,5/22/2009,"103,251,000"
107,BANK OF LINCOLNWOOD,"LINCOLNWOOD, IL",IL,Central,6/5/2009,"71,728,000"
108,FIRST NATIONAL BANK OF ANTHONY,"ANTHONY, KS",KS,Central,6/19/2009,"33,230,000"
109,SOUTHERN COMMUNITY BANK,"FAYETTEVILLE, GA",GA,South,6/19/2009,"136,636,000"
110,COOPERATIVE BANK,"WILMINGTON, NC",NC,South,6/19/2009,"287,359,000"
111,METROPACIFIC BANK,"IRVINE, CA",CA,West,6/26/2009,"32,168,000"
112,COMMUNITY BANK OF WEST GEORGIA,"VILLA RICA, GA",GA,South,6/26/2009,"73,882,000"
113,MIRAE BANK,"LOS ANGELES, CA",CA,West,6/26/2009,"45,309,000"
114,NEIGHBORHOOD COMMUNITY BANK,"NEWNAN, GA",GA,South,6/26/2009,"80,745,000"
115,HORIZON BANK,"PINE CITY, MN",MN,Central,6/26/2009,"24,010,000"
116,THE ELIZABETH STATE BANK,"ELIZABETH, IL",IL,Central,7/2/2009,"9,890,000"
117,ROCK RIVER BANK,"OREGON, IL",IL,Central,7/2/2009,"18,597,000"
118,THE FIRST STATE BANK OF WINCHESTER,"WINCHESTER, IL",IL,Central,7/2/2009,"8,340,000"
119,THE JOHN WARNER BANK,"CLINTON, IL",IL,Central,7/2/2009,"14,597,000"
120,FOUNDERS BANK,"WORTH, IL",IL,Central,7/2/2009,"132,351,000"
121,THE FIRST NATIONAL BANK OF DANVILLE,"DANVILLE, IL",IL,Central,7/2/2009,"25,057,000"
122,MILLENNIUM STATE BANK OF TEXAS,"DALLAS, TX",TX,Central,7/2/2009,"52,700,000"
123,BANK OF WYOMING,"THERMOPOLIS, WY",WY,West,7/10/2009,"32,668,000"
124,"VINEYARD BANK, NATIONAL ASSOCIATION","RANCHO CUCAMONGA, CA",CA,West,7/17/2009,"279,317,000"
125,TEMECULA VALLEY BANK,"TEMECULA, CA",CA,West,7/17/2009,"227,400,000"
126,BANKFIRST,"SIOUX FALLS, SD",SD,Central,7/17/2009,"110,351,000"
127,FIRST PIEDMONT BANK,"WINDER, GA",GA,South,7/17/2009,"37,998,000"
128,SECURITY BANK OF NORTH METRO,"WOODSTOCK, GA",GA,South,7/24/2009,"102,031,000"
129,SECURITY BANK OF GWINNETT COUNTY,"SUWANNEE, GA",GA,South,7/24/2009,"193,409,000"
130,SECURITY BANK OF NORTH FULTON,"ALPHARETTA, GA",GA,South,7/24/2009,"49,000,000"
131,WATERFORD VILLAGE BANK,"WILLIAMSVILLE, NY",NY,East,7/24/2009,"7,875,000"
132,SECURITY BANK OF BIBB COUNTY,"MACON, GA",GA,South,7/24/2009,"416,013,000"
133,SECURITY BANK OF HOUSTON COUNTY,"PERRY, GA",GA,South,7/24/2009,"50,980,000"
134,SECURITY BANK OF JONES COUNTY,"GRAY, GA",GA,South,7/24/2009,"98,201,000"
135,MUTUAL BANK,"HARVEY, IL",IL,Central,7/31/2009,"795,665,000"
136,FIRST STATE BANK OF ALTUS,"ALTUS, OK",OK,Central,7/31/2009,"27,098,000"
137,FIRST BANKAMERICANO,"ELIZABTH, NJ",NJ,East,7/31/2009,"21,934,000"
138,PEOPLES COMMUNITY BANK,"WEST CHESTER, OH",OH,East,7/31/2009,"64,067,000"
139,INTEGRITY BANK,"JUPITER, FL",FL,South,7/31/2009,"37,174,000"
140,FIRST STATE BANK,"SARASOTA, FL",FL,South,8/7/2009,"121,293,000"
141,COMMUNITY NATIONAL BANK OF SARASOTA COUNTY,"VENICE, FL",FL,South,8/7/2009,"25,809,000"
142,COMMUNITY FIRST BANK,"PRINEVILLE, OR",OR,West,8/7/2009,"73,699,000"
143,COLONIAL BANK,"MONTGOMERY, AL",AL,South,8/14/2009,"2,958,217,000"
144,COMMUNITY BANK OF ARIZONA,"PHOENIX, AZ",AZ,West,8/14/2009,"27,476,000"
145,COMMUNITY BANK OF NEVADA,"LAS VEGAS, NV",NV,West,8/14/2009,"564,375,000"
146,"UNION BANK, NATIONAL ASSOCIATION","GILBERT, AZ",AZ,West,8/14/2009,"53,231,000"
147,DWELLING HOUSE SAVINGS AND LOAN,"PITTSBURGH, PA",PA,East,8/14/2009,"8,913,000"
148,GUARANTY BANK,"AUSTIN, TX",TX,Central,8/21/2009,0
149,EBANK,"ATLANTA, GA",GA,South,8/21/2009,"51,023,000"
150,FIRST COWETA,"NEWNAN, GA",GA,South,8/21/2009,"66,684,000"
151,CAPITALSOUTH BANK,"BIRMINGHAM, AL",AL,South,8/21/2009,"126,368,000"
152,MAINSTREET BANK,"FOREST LAKE, MN",MN,Central,8/28/2009,"89,957,000"
153,BRADFORD BANK,"BALTIMORE, MD",MD,East,8/28/2009,"50,279,000"
154,AFFINITY BANK,"VENTURA, CA",CA,West,8/28/2009,"234,599,000"
155,FIRST STATE BANK,"FLAGSTAFF, AZ",AZ,West,9/4/2009,"49,833,000"
156,PLATINUM COMMUNITY BANK,"ROLLING MEADOWS, IL",IL,Central,9/4/2009,0
157,VANTUS BANK,"SIOUX CITY, IA",IA,Central,9/4/2009,"102,620,000"
158,FIRST BANK OF KANSAS CITY,"KANSAS CITY, MO",MO,Central,9/4/2009,"7,548,000"
159,INBANK,"OAK FOREST, IL",IL,Central,9/4/2009,"56,911,000"
160,VENTURE BANK,"LACEY, WA",WA,West,9/11/2009,"213,460,000"
161,"CORUS BANK, N.A.","CHICAGO, IL",IL,Central,9/11/2009,"32,205,000"
162,BRICKWELL COMMUNITY BANK,"WOODBURY, MN",MN,Central,9/11/2009,"24,597,000"
163,IRWIN UNION BANK AND TRUST COMPANY,"COLUMBUS, IN",IN,Central,9/18/2009,"762,774,000"
164,"IRWIN UNION BANK, FSB","LOUISVILLE, KY",KY,South,9/18/2009,"116,298,000"
165,GEORGIAN BANK,"ATLANTA, GA",GA,South,9/25/2009,"961,996,000"
166,JENNINGS STATE BANK,"SPRING GROVE, MN",MN,Central,10/2/2009,"18,876,000"
167,SOUTHERN COLORADO NATIONAL BANK,"PUEBLO, CO",CO,West,10/2/2009,"8,323,000"
168,WARREN BANK,"WARREN, MI",MI,Central,10/2/2009,"223,098,000"
169,SAN JOAQUIN BANK,"BAKERSFIELD, CA",CA,West,10/16/2009,"80,324,000"
170,BANK OF ELMWOOD,"RACINE, WI",WI,Central,10/23/2009,"99,463,000"
171,FLAGSHIP NATIONAL BANK,"BRADENTON, FL",FL,South,10/23/2009,"62,112,000"
172,RIVERVIEW COMMUNITY BANK,"OSTEGO, MN",MN,Central,10/23/2009,"23,476,000"
173,AMERICAN UNITED BANK,"LAWRENCEVILLE, GA",GA,South,10/23/2009,"44,008,000"
174,PARTNERS BANK,"NAPLES, FL",FL,South,10/23/2009,"31,809,000"
175,HILLCREST BANK FLORIDA,"NAPLES, FL",FL,South,10/23/2009,"43,603,000"
176,FIRST DUPAGE BANK,"WESTMONT, IL",IL,Central,10/23/2009,"86,934,000"
177,COMMUNITY BANK OF LEMONT,"LEMONT, IL",IL,Central,10/30/2009,"26,348,000"
178,CALIFORNIA NATIONAL BANK,"LOS ANGELES, CA",CA,West,10/30/2009,"290,091,000"
179,PACIFIC NATIONAL BANK,"SAN FRANCISCO, CA",CA,West,10/30/2009,"78,725,000"
180,"BANK USA, NA","PHOENIX, AZ",AZ,West,10/30/2009,"13,275,000"
181,MADISONVILLE STATE BANK,"MADISONVILLE, TX",TX,Central,10/30/2009,"820,000"
182,NORTH HOUSTON BANK,"HOUSTON, TX",TX,Central,10/30/2009,"14,391,000"
183,CITIZENS NATIONAL BANK,"TEAGUE, TX",TX,Central,10/30/2009,"6,982,000"
184,SAN DIEGO NATIONAL BANK,"SAN DIEGO, CA",CA,West,10/30/2009,"40,822,000"
185,PARK NATIONAL BANK,"CHICAGO, IL",IL,Central,10/30/2009,"26,008,000"
186,UNITED SECURITY BANK,"SPARTA, GA",GA,South,11/6/2009,"62,318,000"
187,GATEWAY BANK OF ST LOUIS,"ST LOUIS, MO",MO,Central,11/6/2009,"11,648,000"
188,UNITED COMMERCIAL BANK,"SAN FRANCISCO, CA",CA,West,11/6/2009,"632,501,000"
189,HOME FEDERAL SAVINGS BANK,"DETROIT, MI",MI,Central,11/6/2009,"8,468,000"
190,PROSPERAN BANK,"OAKDALE, MN",MN,Central,11/6/2009,"34,308,000"
191,PACIFIC COAST NATIONAL BANK,"SAN CLEMENTE, CA",CA,West,11/13/2009,"33,470,000"
192,"CENTURY BANK, A FEDERAL SAVINGS BANK","SARASOTA, FL",FL,South,11/13/2009,"307,406,000"
193,ORION BANK,"NAPLES, FL",FL,South,11/13/2009,"721,767,000"
194,COMMERCE BANK OF SOUTHWEST FLORIDA,"FORT MYERS, FL",FL,South,11/20/2009,"32,236,000"
195,BENCHMARK BANK,"AURORA, IL",IL,Central,12/4/2009,"79,365,000"
196,FIRST SECURITY NATIONAL BANK,"NORCROSS, GA",GA,South,12/4/2009,"34,282,000"
197,THE BUCKHEAD COMMUNITY BANK,"ATLANTA, GA",GA,South,12/4/2009,"316,515,000"
198,GREATER ATLANTIC BANK,"RESTON, VA",VA,South,12/4/2009,"31,837,000"
199,AMTRUST BANK,"CLEVELAND, OH",OH,East,12/4/2009,"1,754,561,000"
200,THE TATNALL BANK,"REIDSVILLE, GA",GA,South,12/4/2009,"14,705,000"
201,"REPUBLIC FEDERAL BANK, N.A.","MIAMI, FL",FL,South,12/11/2009,"84,535,000"
202,"VALLEY CAPITAL BANK, N.A.","MESA, AZ",AZ,West,12/11/2009,"15,047,000"
203,SOLUTIONSBANK,"OVERLAND PARK, KS",KS,Central,12/11/2009,"93,393,000"
204,CITIZENS STATE BANK,"NEW BALTIMORE, MI",MI,Central,12/18/2009,"71,005,000"
205,ROCKBRIDGE COMMERCIAL BANK,"ATLANTA, GA",GA,South,12/18/2009,"99,936,000"
206,INDEPENDENT BANKERS' BANK,"SPRINGFIELD, IL",IL,Central,12/18/2009,0
207,"FIRST FEDERAL BANK OF CALIFORNIA,  A FEDERAL SAVINGS BANK","SANTA MONICA, CA",CA,West,12/18/2009,0
208,PEOPLES FIRST COMMUNITY BANK,"PANAMA CITY, FL",FL,South,12/18/2009,"597,344,000"
209,NEW SOUTH FEDERAL SAVINGS BANK,"IRONDALE, AL",AL,South,12/18/2009,"303,518,000"
210,IMPERIAL CAPITAL BANK,"LA JOLLA, CA",CA,West,12/18/2009,"286,235,000"
211,HORIZON BANK,"BELLINGHAM, WA",WA,West,1/8/2010,"213,192,000"
212,TOWN COMMUNITY BANK AND TRUST,"ANTIOCH, IL",IL,Central,1/15/2010,"23,894,000"
213,ST. STEPHEN STATE BANK,"ST. STEPHEN, MN",MN,Central,1/15/2010,"7,707,000"
214,BARNES BANKING COMPANY,"KAYSVILLE, UT",UT,West,1/15/2010,"111,579,000"
215,COLUMBIA RIVER BANK,"THE DALLES, OR",OR,West,1/22/2010,"55,064,000"
216,EVERGREEN BANK,"SEATTLE, WA",WA,West,1/22/2010,"43,886,000"
217,BANK OF LEETON,"LEETON, MO",MO,Central,1/22/2010,"7,464,000"
218,PREMIER AMERICAN BANK,"MIAMI, FL",FL,South,1/22/2010,"84,454,000"
219,CHARTER BANK,"SANTA FE, NM",NM,West,1/22/2010,"128,038,000"
220,FIRST NATIONAL BANK OF GEORGIA,"CARROLLTON, GA",GA,South,1/29/2010,"203,902,000"
221,AMERICAN MARINE BANK,"BAINBRIDGE ISLAND, WA",WA,West,1/29/2010,"28,360,000"
222,"MARSHALL BANK, NATIONAL ASSOCIATION","HALLOCK, MN",MN,Central,1/29/2010,"1,463,000"
223,FLORIDA COMMUNITY BANK,"IMMOKALEE, FL",FL,South,1/29/2010,"310,653,000"
224,COMMUNITY BANK & TRUST,"CORNELIA, GA",GA,South,1/29/2010,"480,125,000"
225,FIRST REGIONAL BANK,"LOS ANGELES, CA",CA,West,1/29/2010,"244,805,000"
226,1ST AMERICAN STATE BANK OF MINNESOTA,"HANCOCK, MN",MN,Central,2/5/2010,"4,521,000"
227,MARCO COMMUNITY BANK,"MARCO ISLAND, FL",FL,South,2/19/2010,"25,614,000"
228,"LA JOLLA BANK, FSB","LA JOLLA, CA",CA,West,2/19/2010,"585,719,000"
229,THE LA COSTE NATIONAL BANK,"LA COSTE, TX",TX,Central,2/19/2010,"5,709,000"
230,GEORGE WASHINGTON SAVINGS BANK,"ORLAND PARK, IL",IL,Central,2/19/2010,"129,425,000"
231,RAINIER PACIFIC BANK,"TACOMA, WA",WA,West,2/26/2010,"2,845,000"
232,CARSON RIVER COMMUNITY BANK,"CARSON CITY, NV",NV,West,2/26/2010,"14,994,000"
233,WATERFIELD BANK,"GERMANTOWN, MD",MD,East,3/5/2010,"18,567,000"
234,CENTENNIAL BANK,"OGDEN, UT",UT,West,3/5/2010,"72,673,000"
235,SUN AMERICAN BANK,"BOCA RATON, FL",FL,South,3/5/2010,"122,793,000"
236,BANK OF ILLINOIS,"NORMAL, IL",IL,Central,3/5/2010,"18,844,000"
237,LIBERTYPOINTE BANK,"NEW YORK, NY",NY,East,3/11/2010,"19,394,000"
238,THE PARK AVENUE BANK,"NEW YORK, NY",NY,East,3/12/2010,"78,134,000"
239,STATEWIDE BANK,"COVINGTON, LA",LA,South,3/12/2010,"28,370,000"
240,OLD SOUTHERN BANK,"ORLANDO, FL",FL,South,3/12/2010,"76,501,000"
241,CENTURY SECURITY BANK,"DULUTH, GA",GA,South,3/19/2010,"38,192,000"
242,ADVANTA BANK CORP.,"DRAPER, UT",UT,West,3/19/2010,"536,071,000"
243,FIRST LOWNDES BANK,"FORT DEPOSIT, AL",AL,South,3/19/2010,"12,958,000"
244,APPALACHIAN COMMUNITY BANK,"ELLIJAY, GA",GA,South,3/19/2010,"458,033,000"
245,AMERICAN NATIONAL BANK,"PARMA, OH",OH,East,3/19/2010,"14,960,000"
246,BANK OF HIAWASSEE,"HIAWASSEE, GA",GA,South,3/19/2010,"108,511,000"
247,STATE BANK OF AURORA,"AURORA, MN",MN,Central,3/19/2010,"7,026,000"
248,UNITY NATIONAL BANK,"CARTERSVILLE, GA",GA,South,3/26/2010,"73,589,000"
249,KEY WEST BANK,"KEY WEST, FL",FL,South,3/26/2010,"16,210,000"
250,DESERT HILLS BANK,"PHOENIX, AZ",AZ,West,3/26/2010,"111,555,000"
251,MCINTOSH COMMERCIAL BANK,"CARROLLTON, GA",GA,South,3/26/2010,"164,026,000"
252,BEACH FIRST NATIONAL BANK,"MYRTLE BEACH, SC",SC,South,4/9/2010,"164,592,000"
253,AMERICANFIRST BANK,"CLERMONT, FL",FL,South,4/16/2010,"16,611,000"
254,LAKESIDE COMMUNITY BANK,"STERLING HEIGHTS, MI",MI,Central,4/16/2010,"21,829,000"
255,TAMALPAIS BANK,"SAN RAFAEL, CA",CA,West,4/16/2010,0
256,INNOVATIVE BANK,"OAKLAND, CA",CA,West,4/16/2010,"23,096,000"
257,RIVERSIDE NATIONAL BANK OF FLORIDA,"FORT PIERCE, FL",FL,South,4/16/2010,"17,819,000"
258,CITY BANK,"LYNNWOOD, WA",WA,West,4/16/2010,"158,400,000"
259,BUTLER BANK,"LOWELL, MA",MA,East,4/16/2010,"20,433,000"
260,FIRST FEDERAL BANK OF NORTH FLORIDA,"PALATKA, FL",FL,South,4/16/2010,"14,508,000"
261,BROADWAY BANK,"CHICAGO, IL",IL,Central,4/23/2010,"389,015,000"
262,PEOTONE BANK AND TRUST COMPANY,"PEOTONE, IL",IL,Central,4/23/2010,"46,917,000"
263,NEW CENTURY BANK,"CHICAGO, IL",IL,Central,4/23/2010,"133,071,000"
264,CITIZENS BANK & TRUST COMPANY OF CHICAGO,"CHICAGO, IL",IL,Central,4/23/2010,"42,913,000"
265,WHEATLAND BANK,"NAPERVILLE, IL",IL,Central,4/23/2010,"191,585,000"
266,"AMCORE BANK, NATIONAL ASSOCIATION","ROCKFORD, IL",IL,Central,4/23/2010,"27,420,000"
267,LINCOLN PARK SAVINGS BANK,"CHICAGO, IL",IL,Central,4/23/2010,"39,765,000"
268,CHAMPION BANK,"CREVE COEUR, MO",MO,Central,4/30/2010,"57,091,000"
269,BC NATIONAL BANKS,"BUTLER, MO",MO,Central,4/30/2010,"9,100,000"
270,FRONTIER BANK,"EVERETT, WA",WA,West,4/30/2010,"487,222,000"
271,CF BANCORP,"PORT HURON, MI",MI,Central,4/30/2010,"387,873,000"
272,ACCESS BANK,"CHAMPLIN, MN",MN,Central,5/7/2010,"7,916,000"
273,THE BANK OF BONIFAY,"BONIFAY, FL",FL,South,5/7/2010,"66,497,000"
274,1ST PACIFIC BANK OF CALIFORNIA,"SAN DIEGO, CA",CA,West,5/7/2010,"10,626,000"
275,TOWNE BANK OF ARIZONA,"MESA, AZ",AZ,West,5/7/2010,"44,625,000"
276,SATILLA COMMUNITY BANK,"SAINT MARYS, GA",GA,South,5/14/2010,"37,552,000"
277,SOUTHWEST COMMUNITY BANK,"SPRINGFIELD, MO",MO,Central,5/14/2010,"25,580,000"
278,NEW LIBERTY BANK,"PLYMOUTH, MI",MI,Central,5/14/2010,"24,493,000"
279,MIDWEST BANK AND TRUST COMPANY,"ELMWOOD PARK, IL",IL,Central,5/14/2010,0
280,PINEHURST BANK,"ST. PAUL, MN",MN,Central,5/21/2010,"8,410,000"
